TIC,TOI,Disposition,Disposition,Detection,Period,Duration,Planet_Radius,Stellar_Radius,Sectors
268604331,4466.01,KP,KP,SPOC,5.0141991086608,4.5606871296246,13.491172810855,1.6967500448227,"14,15,41,54,55"
320798691,2130.01,KP,KP,SPOC,5.0052605034024,4.9057646228405,13.631452758902,1.4670100212097,"26,40,53"
248075138,769.01,KP,KP,SPOC,4.9816784,2733,10.7801,0.79,"10,37"
286865921,773.01,KP,KP,SPOC,4.971298,3283,12.1956,1.09,"10,37"
100566492,2198.01,KP,KP,SPOC,4.9549631089896,5.9565174468219,18.450468948967,1.99207,27
389352124,2197.01,KP,KP,SPOC,4.954648,3639,13.0889,1.47,"27,67"
27774415,4456.01,KP,KP,SPOC,4.9427985335015,3.3153827577537,15.320496072536,1.325670003891,"40,41,54,55"
211438925,194.01,KP,KP,SPOC/QLP,4.8996461,3.07,15.9746,1.5,"2,29,69"
28230919,1144.01,KP,KP,SPOC/QLP,4.8878023,2.18,5.28325,0.76,"14,15,41,54,55,56,74"
121660904,4431.01,KP,KP,SPOC,4.8854843850569,5.2333984625333,18.175955703371,2.0812199115753,"40,41,54,55"
198588220,2014.01,KP,KP,QLP,4.8101141365412,7.0284557274413,23.579571361582,2.648099899292,"24,26,51,52,53"
5882269,5083.01,KP,KP,QLP,4.7948642,2245,3.3985,0.65,"43,44,45,71"
139733308,452.01,KP,KP,UNKNOWN,4.7633952421573,3.0078271753085,10.219683299859,0.8755099773407,"5,32"
281541555,115.01,KP,KP,UNKNOWN,4.742378476894,2.5318097944897,10.389630327288,0.87758499383926,"1,2,28,29"
366631954,5068.01,KP,KP,QLP,4.7369669,2.58,2.93924,0.79,"7,34,44,45,46,72"
55092869,664.01,KP,KP,SPOC,4.7359231896056,7.0819611648289,13.575258919242,2.7871499061584,"9,62"
27635334,6967.01,KP,KP,SPOC,4.7335575051467,3.2089234481436,5.3852666290978,1.7589600086212,"44,45,46,71,72"
73448352,1603.01,KP,KP,QLP,4.7321727,2794,15.0238,1.56,"18,58"
137151335,5979.01,KP,KP,SPOC,4.7267257,3014,1.45952,0.92,"14,40,41,54,55,74"
14661418,751.01,KP,KP,UNKNOWN,4.7228146286607,2.1894173969358,12.137650390898,0.79323500394821,"10,36"
117275513,5067.01,KP,KP,QLP,4.6886342,2651,3.36071,0.87,"21,44,45,46,72"
270468559,571.01,KP,KP,SPOC,4.6418368,3721,12.9164,1.41,"8,34,44,45,46"
285272237,3681.01,KP,KP,QLP,4.6401269220383,3.032014408878,10.240744282018,1.0093599557877,"18,58"
248111245,770.01,KP,KP,UNKNOWN,4.6370478737018,4.8238321719544,15.304546503321,1.6805399656296,"10,11,37"
101721385,2129.01,KP,KP,SPOC,4.627664,2306,14.3694,1.55,"25,26,52,53"
347329162,1809.01,KP,KP,SPOC,4.6170519,3555,12.4681,1.11,"22,49"
425206121,508.01,KP,KP,UNKNOWN,4.6117328,4065,18.7958,1.67,"7,33"
201604954,1066.01,KP,KP,SPOC,4.606184,3.121643,12.962219,1.07,13
112604564,1922.01,KP,KP,QLP,4.5768651482226,3.5592794701186,19.157122279584,1.78295,"7,34"
310003988,1629.01,KP,KP,QLP,4.5421594,4294,17.3816,1.73,"16,23,24,50"
262662119,4531.01,KP,KP,SPOC/QLP,4.5334789,3436,13609,1.2,"42,7"
293457754,4621.01,KP,KP,SPOC,4.5195119703311,3.145779876935,14.099184799305,1.0320999622345,"42,43"
125739286,1934.01,KP,KP,QLP,4.5111234,4525,18.5483,1.71,"11,38"
294301883,774.01,KP,KP,UNKNOWN,4.465634329942,3.5125179895836,14.646776348545,1.090360045433,"10,37"
346338552,1388.01,KP,KP,QLP,4.4653014,2494,14.5338,1.18,"16,56"
199671901,5959.01,KP,KP,SPOC,4.4571443713053,6.1089711437671,18.031155987462,2.0946500301361,"56,57"
269269546,4488.01,KP,KP,SPOC,4.4541700314081,2.271429968899,13.801721797517,0.92208701372147,"41,54,55"
405717754,2175.01,KP,KP,CTOI,4.4379726582844,4.7176624129258,20.356533665823,1.569659948349,"14,15,26,40,41,53,54,55"
176685457,1935.01,KP,KP,QLP,4.4352884,1.89,11.211023119929,1.38,"8,35"
149603524,102.01,KP,KP,SPOC,4.4119378,3.65,15.4706,1.21,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,64,65,68"
78055054,434.01,KP,KP,UNKNOWN,4.388851647462,3.0184015457076,13.899452339027,0.87785601615906,"5,6,32"
393414358,483.01,KP,KP,UNKNOWN,4.3780806521225,5.3900977708936,15.176734588555,1.792240023613,"6,7,32,33"
